unified_id,kg_id,hgnc_id,symbol,entrez_id,ensembl_gene_id,uniprot_ids,refseq_accession,symbol_in_kg,biogrid_id
0,2,HGNC:17579,STARD3,10948,ENSG00000131748,Q14849,NM_001165937,STARD3,116148
1,3,HGNC:25846,PYCR3,65263,ENSG00000104524,Q53H96,NM_023078,PYCR3,122418
2,32774,HGNC:2734,DDX1,1653,ENSG00000079785,Q92499,NM_004939,DDX1,108019
3,65542,HGNC:2294,COX8A,1351,ENSG00000176340,P10176,NM_004074,COX8A,107744
4,65546,HGNC:14922,PLAAT1,57110,ENSG00000127252,Q9HDD0,NM_001366112,PLAAT1,121376
5,32781,HGNC:4550,GPS2,2874,ENSG00000132522,Q13227,NM_004489,GPS2,109132
6,65549,HGNC:14623,CDCA2,157313,ENSG00000184661,Q69YH5,NM_152562,CDCA2,127593
7,17,HGNC:6239,KCND3,3752,ENSG00000171385,Q9UK17,NM_172198,KCND3,109954
8,32785,HGNC:19441,RIOX2,84864,ENSG00000170854,Q8IUF8,NM_032778,RIOX2,124309
9,65553,HGNC:22228,KRBA1,84626,ENSG00000133619,,NM_032534,KRBA1,124155
10,65555,HGNC:25513,GPN2,54707,ENSG00000142751,Q9H9Y4,NM_018066,GPN2,120104
11,65556,HGNC:7587,MYL6,4637,ENSG00000092841,P60660,NM_021019,MYL6,110721
12,27,HGNC:13995,PRDM10,56980,ENSG00000170325,Q9NQV6,NM_199437,PRDM10,121298
13,28,HGNC:11764,TG,7038,ENSG00000042832,P01266,NM_003235,TG,112896
14,32797,HGNC:1577,CCNA1,8900,ENSG00000133101,P78396,NM_003914,CCNA1,114417
15,32801,HGNC:28356,TBC1D16,125058,ENSG00000167291,Q8TBP0,NM_019020,TBC1D16,125913
16,65572,HGNC:6398,KPNA5,3841,ENSG00000196911,O15131,NM_002269,KPNA5,110039
17,37,HGNC:12539,UGT1A7,54577,ENSG00000244122,Q9HAW7,NM_019077,UGT1A7,120055
18,32808,HGNC:31922,ERC2,26059,ENSG00000187672,O15083,NM_015576,ERC2,117521
19,45,HGNC:10726,SEMA3D,223117,ENSG00000153993,O95025,NM_152754,SEMA3D,128826
20,49,HGNC:23355,DEPP1,11067,ENSG00000165507,Q9NTK1,NM_007021,DEPP1,116251
21,65592,HGNC:3436,ERCC4,2072,ENSG00000175595,Q92889,NM_005236,ERCC4,108384
22,61,HGNC:18008,NXN,64359,ENSG00000167693,Q6DKJ4,NM_001205319,NXN,122144
23,62,HGNC:16892,CD96,10225,ENSG00000153283,P40200,NM_001318889,CD96,115519
24,65599,HGNC:20461,NME7,29922,ENSG00000143156,Q9Y5B8,NM_013330,NME7,118963
25,32837,HGNC:10901,SKP2,6502,ENSG00000145604,Q13309,NM_005983,SKP2,112393
26,65606,HGNC:3145,TRPV5,56302,ENSG00000127412,Q9NQA5,NM_019841,TRPV5,121137
27,71,HGNC:7977,NR2F6,2063,ENSG00000160113,P10588,NM_005234,NR2F6,108375
28,32840,HGNC:17316,TIMM44,10469,ENSG00000104980,O43615,NM_006351,TIMM44,115732
29,32844,HGNC:15679,CTTNBP2,83992,ENSG00000077063,Q8WZ74,NM_033427,CTTNBP2,123842
30,65615,HGNC:28889,TMED3,23423,ENSG00000166557,Q9Y3Q3,NM_007364,TMED3,116993
31,32851,HGNC:9541,PSMB4,5692,ENSG00000159377,P28070,NM_002796,PSMB4,111665
32,84,HGNC:3381,EPB42,2038,ENSG00000166947,P16452,NM_000119,EPB42,108352
33,32856,HGNC:17663,PITRM1,10531,ENSG00000107959,Q5JRX3,NM_001242307,PITRM1,115786
34,89,HGNC:17809,SMG6,23293,ENSG00000070366,Q86US8,NM_001256827,SMG6,116888
35,88,HGNC:12925,ZNF140,7699,ENSG00000196387,P52738,NM_003440,ZNF140,113493
36,65627,HGNC:30764,TRAIP,10293,ENSG00000183763,Q9BWF2,NM_005879,TRAIP,115581
37,92,HGNC:8930,PHKG1,5260,ENSG00000164776,Q16816,NM_006213,PHKG1,111278
38,32863,HGNC:23730,GPRIN2,9721,ENSG00000204175,O60269,NM_014696,GPRIN2,115070
39,102,HGNC:4512,ADGRG1,9289,ENSG00000205336,Q9Y653,NM_001145770,ADGRG1,114704
40,32877,HGNC:32363,CHAC2,494143,ENSG00000143942,Q8WUX2,NM_001008708,CHAC2,138943
41,65648,HGNC:19235,AATF,26574,ENSG00000275700,Q9NY61,NM_012138,AATF,117743
42,113,HGNC:27900,C17orf67,339210,ENSG00000214226,Q0P5P2,NM_001085430,C17orf67,130843
43,65656,HGNC:18762,SLC36A2,153201,ENSG00000186335,Q495M3,NM_181776,SLC36A2,127483
44,32891,HGNC:23581,TIMM23B,100652748,ENSG00000204152,Q5SRD1,NM_001290117,TIMM23B,1530130
45,124,HGNC:14530,SP6,80320,ENSG00000189120,Q3SY56,NM_199262,SP6,123233
46,32896,HGNC:2571,CYB561,1534,ENSG00000008283,P49447,NM_001915,CYB561,107914
47,131,HGNC:11422,CENPX,201254,ENSG00000169689,A8MT69,NM_144998,CENPX,128376
48,135,HGNC:17378,NAGPA,51172,ENSG00000103174,Q9UK23,NM_016256,NAGPA,119351
49,65672,HGNC:11743,TFAP2B,7021,ENSG00000008196,Q92481,NM_003221,TFAP2B,112879
50,32906,HGNC:20065,USP30,84749,ENSG00000135093,Q70CQ3,NM_032663,USP30,124238
51,65674,HGNC:21421,WDR31,114987,ENSG00000148225,,NM_145241,WDR31,125405
52,32908,HGNC:25959,GIN1,54826,ENSG00000145723,Q9NXP7,NM_017676,GIN1,120180
53,32909,HGNC:18811,B3GNT7,93010,ENSG00000156966,Q8NFL0,NM_145236,B3GNT7,124994
54,142,HGNC:44,TAP2,6891,ENSG00000204267,Q03519,NM_000544,TAP2,112754
55,32911,HGNC:15580,PDE4DIP,9659,ENSG00000178104,Q5VU43,NM_014644,PDE4DIP,115017
56,141,HGNC:21391,SLAMF8,56833,ENSG00000158714,Q9P0V8,NM_020125,SLAMF8,121206
57,65678,HGNC:7381,MST1R,4486,ENSG00000164078,Q04912,NM_001244937,MST1R,110592
58,149,HGNC:7221,MPP3,4356,ENSG00000161647,Q13368,NM_001932,MPP3,110496
59,154,HGNC:10069,RNF6,6049,ENSG00000127870,Q9Y252,NM_005977,RNF6,111976
60,65690,HGNC:20799,SLC35D2,11046,ENSG00000130958,Q76EJ3,NM_001286990,SLC35D2,116234
61,65697,HGNC:6135,ITGA10,8515,ENSG00000143127,O75578,NM_003637,ITGA10,114087
62,161,HGNC:16353,MAGED2,10916,ENSG00000102316,Q9UNF1,NM_014599,MAGED2,116121
63,168,HGNC:24905,CREBZF,58487,ENSG00000137504,Q9NS37,NM_001039618,CREBZF,121817
64,65704,HGNC:5047,HNRNPR,10236,ENSG00000125944,O43390,NM_005826,HNRNPR,115530
65,32938,HGNC:16046,UNC50,25972,ENSG00000115446,Q53HI1,NM_014044,UNC50,117456
66,174,HGNC:17077,CTDSP2,10106,ENSG00000175215,O14595,NM_005730,CTDSP2,115412
67,65710,HGNC:17810,AMOT,154796,ENSG00000126016,Q4VCS5,NM_133265,AMOT,127557
68,32945,HGNC:13139,ZNF7,7553,ENSG00000147789,P17097,NM_003416,ZNF7,113385
69,32951,HGNC:4819,HAS2,3037,ENSG00000170961,Q92819,NM_005328,HAS2,109287
70,184,HGNC:4315,GLE1,2733,ENSG00000119392,Q53GS7,NM_001003722,GLE1,108995
71,65720,HGNC:29796,LAMTOR2,28956,ENSG00000116586,Q9Y2Q5,NM_014017,LAMTOR2,118783
72,65724,HGNC:4496,GPR39,2863,ENSG00000183840,O43194,NM_001508,GPR39,109121
